ID,SUBID,ALARMLEVEL,UNITTYPE,UNITID,EQPID,DESCRIPTION,STATUS,EDITEDTIME,CLEARTIME,SETTIME
11,0,0,CRANE,C0STKA71_C01,C0STKA71,RM TRAVEL REVERSE LIMIT EMERGENCY STOP(BARCODE),1,8/19/2024 1:33:54 PM,2024-08-19 13:33:54,2024-08-19 13:32:11
1032,,5,STKMAIN,C0STKA71,C0STKA71,HP DOOR KEY UNLOCK,1,8/19/2024 1:37:28 PM,2024-08-19 13:37:28,2024-08-19 13:33:01
1064,,5,STKMAIN,C0STKA71,C0STKA71,1 Safety Relay Reset,1,8/19/2024 1:33:13 PM,2024-08-19 13:33:13,2024-08-19 13:33:01
9910,,10,STKMAIN,C0STKA71,C0STKA71,No defined alarm[STKMAIN],3,8/19/2024 1:37:33 PM,2024-08-19 13:37:33,2024-08-19 13:33:01
9001,,5,STKMAIN,C0STKA71,C0STKA71,SYSTEM INTERLOCK,1,8/19/2024 1:37:33 PM,2024-08-19 13:37:33,2024-08-19 13:33:01
9900,,5,STKMAIN,C0STKA71,C0STKA71,SYSTEM STOP,1,8/19/2024 1:37:34 PM,2024-08-19 13:37:34,2024-08-19 13:33:01
1000,,5,STKMAIN,C0STKA71,C0STKA71,HP DOOR OPEN,1,8/19/2024 1:37:18 PM,2024-08-19 13:37:18,2024-08-19 13:33:13
76,0,0,CRANE,C0STKA71_C01,C0STKA71,TRAVEL BCR DATA UNCHANGED FOR TRAVEL,1,8/19/2024 1:35:24 PM,2024-08-19 13:35:24,2024-08-19 13:35:21
584,0,0,CRANE,C0STKA71_C01,C0STKA71,[MANAUL] MU GRIP SW OFF,1,8/19/2024 1:35:30 PM,2024-08-19 13:35:30,2024-08-19 13:35:24
584,0,0,CRANE,C0STKA71_C01,C0STKA71,[MANAUL] MU GRIP SW OFF,1,8/19/2024 1:35:40 PM,2024-08-19 13:35:40,2024-08-19 13:35:35
76,0,0,CRANE,C0STKA71_C01,C0STKA71,TRAVEL BCR DATA UNCHANGED FOR TRAVEL,1,8/19/2024 1:35:49 PM,2024-08-19 13:35:49,2024-08-19 13:35:46
584,0,0,CRANE,C0STKA71_C01,C0STKA71,[MANAUL] MU GRIP SW OFF,1,8/19/2024 1:35:57 PM,2024-08-19 13:35:57,2024-08-19 13:35:49
76,0,0,CRANE,C0STKA71_C01,C0STKA71,TRAVEL BCR DATA UNCHANGED FOR TRAVEL,1,8/19/2024 1:36:05 PM,2024-08-19 13:36:05,2024-08-19 13:36:03
584,0,0,CRANE,C0STKA71_C01,C0STKA71,[MANAUL] MU GRIP SW OFF,1,8/19/2024 1:36:11 PM,2024-08-19 13:36:11,2024-08-19 13:36:05
76,0,0,CRANE,C0STKA71_C01,C0STKA71,TRAVEL BCR DATA UNCHANGED FOR TRAVEL,1,8/19/2024 1:36:22 PM,2024-08-19 13:36:22,2024-08-19 13:36:19
584,0,0,CRANE,C0STKA71_C01,C0STKA71,[MANAUL] MU GRIP SW OFF,1,8/19/2024 1:36:22 PM,2024-08-19 13:36:22,2024-08-19 13:36:22
73,0,0,CRANE,C0STKA71_C01,C0STKA71,HP/OP MODE KEY S/W ERROR,1,8/19/2024 1:37:29 PM,2024-08-19 13:37:29,2024-08-19 13:36:25
1064,,5,STKMAIN,C0STKA71,C0STKA71,1 Safety Relay Reset,1,8/19/2024 1:38:22 PM,2024-08-19 13:38:22,2024-08-19 13:37:18
654,0,0,CRANE,C0STKA71_C01,C0STKA71,Booth Reset S/W,1,8/19/2024 1:37:33 PM,2024-08-19 13:37:33,2024-08-19 13:37:30
654,0,0,CRANE,C0STKA71_C01,C0STKA71,Booth Reset S/W,1,8/19/2024 1:38:36 PM,2024-08-19 13:38:36,2024-08-19 13:37:33
654,0,0,CRANE,C0STKA71_C02,C0STKA71,Booth Reset S/W,1,8/19/2024 1:38:29 PM,2024-08-19 13:38:29,2024-08-19 13:38:01
510,0,0,CRANE,C0STKA71_C02,C0STKA71,PREVIOUS CRANE FAIL TO RETURNNING AN ORIGIN POINT,1,8/19/2024 1:41:34 PM,2024-08-19 13:41:34,2024-08-19 13:38:29
11,0,0,CRANE,C0STKA71_C01,C0STKA71,RM TRAVEL REVERSE LIMIT EMERGENCY STOP(BARCODE),1,8/19/2024 1:40:58 PM,2024-08-19 13:40:58,2024-08-19 13:38:38
11,0,0,CRANE,C0STKA71_C01,C0STKA71,RM TRAVEL REVERSE LIMIT EMERGENCY STOP(BARCODE),1,8/19/2024 1:41:52 PM,2024-08-19 13:41:52,2024-08-19 13:40:59
510,0,0,CRANE,C0STKA71_C02,C0STKA71,PREVIOUS CRANE FAIL TO RETURNNING AN ORIGIN POINT,1,8/19/2024 1:43:06 PM,2024-08-19 13:43:06,2024-08-19 13:41:35
11,0,0,CRANE,C0STKA71_C01,C0STKA71,RM TRAVEL REVERSE LIMIT EMERGENCY STOP(BARCODE),1,8/19/2024 1:48:32 PM,2024-08-19 13:48:32,2024-08-19 13:41:54
1064,,5,STKMAIN,C0STKA71,C0STKA71,1 Safety Relay Reset,1,8/19/2024 1:43:07 PM,2024-08-19 13:43:07,2024-08-19 13:43:04
9910,,10,STKMAIN,C0STKA71,C0STKA71,No defined alarm[STKMAIN],3,8/19/2024 1:47:31 PM,2024-08-19 13:47:31,2024-08-19 13:43:04
9001,,5,STKMAIN,C0STKA71,C0STKA71,SYSTEM INTERLOCK,1,8/19/2024 1:47:31 PM,2024-08-19 13:47:31,2024-08-19 13:43:04
9900,,5,STKMAIN,C0STKA71,C0STKA71,SYSTEM STOP,1,8/19/2024 1:47:32 PM,2024-08-19 13:47:32,2024-08-19 13:43:04
